,incident_id,date,state,city,address,num_killed,num_injured,latitude,location_description,longitude,n_guns_involved,pre_teens_involved,adults_involved,total_victims,total_suspects,males,females,gun_type
2,478855,01/01/2013,Ohio,Lorain,1776 East 28th Street,1,3,41.4455,Cotton Club,-82.1377,2.0,0,5,3,2,5,0,Unknown
15,479573,02/02/2013,Tennessee,Memphis,2514 Mount Moriah,0,5,35.0803,Club Venue,-89.8871,1.0,0,1,5,1,0,6,Handgun
20,480327,02/11/2013,Delaware,Wilmington,500 North King Street,3,2,39.7407,New Castle County courthouse,-75.5499,1.0,0,2,4,1,3,2,45 Auto
33,481237,03/10/2013,Missouri,Kansas City,9331 Hillcrest Rd,0,5,38.955,Tropical Palms Restaurant Club,-94.5211,1.0,0,3,5,1,2,1,Unknown
34,482771,03/11/2013,District of Columbia,Washington,1200 North Capitol Street,0,13,38.9062,Tyler House,-77.0099,4.0,0,2,3,4,7,0,9mm
36,482856,3/13/2013,New York,Mohawk,17 W Main St,6,2,43.011,John's Barber Shop,-75.0058,1.0,1,6,7,0,6,0,Shotgun
54,484333,4/21/2013,Washington,Federal Way,33300 block of 18th Lane South,5,0,47.303,Pinewood Village Apartments,-122.31,2.0,0,5,4,1,4,1,40 SW
62,485979,4/28/2013,Tennessee,Jackson,438 East Main Street,2,2,35.6141,Wolfe Enterprises,-88.815,2.0,0,6,4,3,6,0,9mm
65,486027,05/04/2013,North Carolina,Smithfield,150 South Equity Drive,0,4,35.5076,N&N Sports Bar & Grill,-78.3221,1.0,0,1,4,1,2,2,Unknown
83,486623,5/23/2013,Tennessee,Bean Station,1034 Main Street,2,2,36.3474,Down Home Pharmacy,-83.2849,1.0,0,3,4,1,3,2,Unknown
95,489581,06/07/2013,California,Santa Monica,2036 Yorkshire Ave,6,1,34.026,Santa Monica College,-118.461,2.0,0,7,6,1,4,3,223 Rem [AR-15]
100,487833,6/15/2013,Tennessee,Nashville,135 Brinkhaven Ave,0,4,36.1646,Brinkhaven Apartments,-86.7771,1.0,0,2,4,1,1,4,Unknown
116,490048,6/27/2013,California,Three Rivers,39553-39833 Sierra Dr,2,2,36.4144,Cobble Knoll Recreation Area,-118.925,1.0,0,5,4,2,5,1,Unknown
135,490943,07/12/2013,California,San Francisco,3192 16th St,1,3,37.7649,Double Dutch,-122.423,1.0,0,4,4,0,4,0,Handgun
146,491181,7/20/2013,New York,Brooklyn,Grove Street,0,5,40.6962,Hope Ballfield,-73.9178,1.0,0,6,5,1,4,2,9mm
151,491265,7/26/2013,Florida,Hialeah,1485 W 46th St,7,0,25.864,Todel Apartments,-80.3122,1.0,0,6,6,1,4,3,9mm
158,491473,08/04/2013,California,Salinas,624 Williams Road,3,4,36.6799,Tacos Choice,-121.606,1.0,0,3,7,0,6,1,45 Auto
160,964573,08/05/2013,Pennsylvania,Philadelphia,5100 Parrish St,1,0,39.9669,West Mill Creek Playground,-75.2229,1.0,0,1,1,1,2,0,Unknown
176,491965,8/19/2013,Illinois,Chicago,1011 W. Wilson,1,4,41.9653,Uptown Baptist Church,-87.6557,1.0,0,1,5,1,6,0,7.62 [AK-47]
187,479774,09/11/2013,New York,New York,204 Varick St,0,4,40.7283,Sounds of Brazil,-74.0048,1.0,0,0,4,0,3,1,Unknown
190,479821,9/14/2013,North Carolina,Marion,80 Finley Road,0,4,35.6864,Vortex Marion,-82.0201,1.0,0,1,4,1,1,0,40 SW
194,480366,9/16/2013,District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,11,3,38.873,NAVSEA Building 197,-76.9977,2.0,0,7,7,0,4,3,9mm
200,480521,9/19/2013,Illinois,Chicago,1809 W 50th St,0,12,41.803,Cornell Square Park,-87.6699,1.0,1,4,7,0,6,1,7.62 [AK-47]
207,480691,9/24/2013,West Virginia,Huntington,300 W 7th Ave,0,6,38.4136,Northcott Court,-82.4609,2.0,0,7,6,1,7,0,Handgun
209,480720,9/27/2013,Ohio,Zanesville,753 Putnam Ave,0,4,39.9272,Hoppy's Bar,-82.0073,1.0,0,1,4,1,3,2,Handgun
219,481029,10/12/2013,Oklahoma,Tulsa,12000 E 31st St,0,5,36.1189,Green Country Event Center,-95.8429,1.0,0,2,5,2,2,0,Handgun
246,964576,11/22/2013,Pennsylvania,Philadelphia,5100 Parrish St,0,1,39.9669,West Mill Creek Playground,-75.2229,1.0,0,2,1,1,2,0,Unknown
271,496634,12/26/2013,Louisiana,Slidell,2144 First St,2,6,30.2743,Shooters Socialbar,-89.7826,1.0,0,2,7,0,3,0,40 SW
